Capture Event,AllHoppers_M1_TotalMarkedInField,AllHoppers_M2_TotalSecondSample,AllHoppers_R_Recaptured,AllHoppers_AdditionalMarked,SH_M1_TotalCaughtMarked,SH_M2_TotalSecondSample,SH_R_Recaptured,SH_AdditionalMarked,LH_M1_TotalCaughtMarked,LH_M2_TotalSecondSample,LH_R_Recaptured,LH_AdditionalMarked
1,0,9,0,0,0,5,0,0,0,4,0,0
2,9,8,5,3,5,4,2,2,4,4,3,1
3,12,27,11,16,7,12,6,6,5,15,5,10
4,28,31,19,12,13,17,10,7,15,14,9,5
5,40,17,15,2,20,10,9,1,20,7,6,1
6,42,10,8,,21,6,5,0,21,5,4,0
