Capture Event,AllHoppers_M1_TotalMarkedInField,AllHoppers_M2_TotalSecondSample,AllHoppers_R_Recaptured,AllHoppers_AdditionalMarked,SH_M1_TotalCaughtMarked,SH_M2_TotalSecondSample,SH_R_Recaptured,SH_AdditionalMarked,LH_M1_TotalCaughtMarked,LH_M2_TotalSecondSample,LH_R_Recaptured,LH_AdditionalMarked
1,0,31,0,31,0,31,0,31,0,0,0,0
2,31,59,14,39,31,58,14,38,0,1,0,1
3,70,57,27,30,69,56,26,30,1,1,1,0
4,100,70,32,38,99,69,32,37,1,1,0,1
5,138,39,25,14,136,38,24,14,2,1,1,0
6,152,49,31,NA,150,48,31,NA,2,1,0,NA
